FID,name,address,"Breakfast Times 10:30AM-11:15AM ",Lunch Times  12:15PM-1:15PMs,blackbeanc,blackbeans,speltpasta,tortillas,adzuki beans,pintobeans,popcorn,milledprod,products,latitude,longitude,addrtype,addrlocat,index
0,Grannys Pantry Inc,"4041 Wheatland Rd. Dallas,Texas 75237",1,1,0,1,1,0,1,1,1,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.649301,-96.885212,street_address,APPROXIMATE,Free Meal Program
1,Brackins Village Apartments,"1544 E 8th St, Dallas, TX 75203",1,1,1,1,1,1,1,1,1,1,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.7510443,-96.8080296,street_address,APPROXIMATE,Free Meal Program
2,Cedar Springs Place,"2515-2533 Lucas Dr, Dallas, TX 7521",1,1,1,1,0,0,0,0,0,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.812993,-96.821938,street_address,APPROXIMATE,Free Meal Program
3,Cielo Ranch Apartments,"3829 Gannon Ln, Dallas, TX 75237",1,1,1,0,0,0,0,0,0,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.653415,-96.882099,street_address,APPROXIMATE,Free Meal Program
4,Crawford Park Apartments,"1180 N Masters Dr., Dallas, TX 75217",1,1,1,1,0,0,0,0,1,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.73147,-96.647938,street_address,APPROXIMATE,Free Meal Program
5,Delafield Villas,101 Delafield Ln. Dallas TX 75227,0,0,0,0,0,0,0,0,1,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.773471,-96.674875,street_address,APPROXIMATE,Free Meal Program
6,Eban Village I,"3023 Park Row Ave. Dallas, Texas 75215",1,0,0,0,0,0,0,0,0,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.773807,-96.7699735,street_address,APPROXIMATE,Free Meal Program
7,Ewing Villas,"811 Morrell Ave. Dallas, TX 75203",1,0,0,0,0,0,0,0,0,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.739404,-96.810842,street_address,APPROXIMATE,Free Meal Program
9,Hidden Ridge Apartments,"9702 W Ferris Branch Blvd, Dallas, TX 75243",1,0,0,1,0,1,0,1,0,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.903858,-96.7295759,street_address,APPROXIMATE,Free Meal Program
10,Little Mexico Village,"3027 Harry Hines Blvd. Dallas, TX 75201",1,0,0,0,0,0,0,0,0,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.795317,-96.811945,street_address,APPROXIMATE,Free Meal Program
11,Murdeaux Villa,"125 S Murdeaux Ln, Dallas, TX 75217",0,0,0,0,0,0,0,0,0,1,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.711437,-96.695569,street_address,APPROXIMATE,Free Meal Program
12,Rosemont at Timber Creek,"801 Beckleymeade Avenue, Dallas, TX 75232",1,0,0,1,0,1,0,0,0,0,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.640725,-96.836169,street_address,APPROXIMATE,Free Meal Program
13,Reese Court Villas of Dallas,"1201 S Ewing Ave. Dallas, TX 75216",1,0,0,1,0,1,0,0,0,1,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.735841,-96.811365,street_address,APPROXIMATE,Free Meal Program
14,Rosemont at Arlington Park,"1716 Chattanooga Pl, Dallas, TX 75235",1,0,0,1,0,1,0,0,0,1,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.816113,-96.852799,street_address,APPROXIMATE,Free Meal Program
15,Rosemont at Sierra Vista,"9901 Scyene Rd, Dallas, TX 75227",,,,,,,,,,,"Breakfast Times 10:30AM-11:15AM &ensp; Lunch Times  12:15PM-1:15PM ",32.763749,-96.651219,street_address,APPROXIMATE,Free Meal Program
17,Community Youth Family Services<br/>,"148 S Highway 67, Cedar Hill, TX 75104",,,,,,,,,,,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.588050,-96.947024,,,Free Meal Program
18,Meadows at Ferguson Apartments,"11760 Ferguson Rd, Dallas, TX 75228",,,,,,,,,,,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.853364,-96.646929,,,Free Meal Program
19,Arlington Park,"1716 Chattanooga Pl, Dallas, TX 75235",,,,,,,,,,,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.816113,-96.852799,,,Free Meal Program
20,Ridge at Trinity Apartments,"7203 S Great Trinity Forest Way, Dallas, TX 75217",,,,,,,,,,,"Breakfast Times 10:30AM-11:15AM <br/>Lunch Times  12:15PM-1:15PM ",32.714071,-96.696880,,,Free Meal Program
